Neighborhood,Latitude,Longitude
"Adams, Seattle",47.67297000000008,-122.38759999999996
"Alki Point, Seattle",47.582354365185026,-122.37328706145979
"Arbor Heights, Seattle",47.50861000000003,-122.37592999999998
"Atlantic, Seattle",47.596010000000035,-122.30222999999995
The Ave,30.269460000000038,-97.74225999999999
"Ballard, Seattle",47.66867000000008,-122.38452999999998
"Beacon Hill, Seattle",47.57686000000007,-122.31270999999998
"Belltown, Seattle",47.61576000000008,-122.34463999999997
"Bitter Lake, Seattle",47.71868000000006,-122.35029999999995
"Blue Ridge, Seattle",47.70429946885279,-122.38239123654236
"Briarcliff, Seattle",47.64500000000004,-122.40773999999999
"Brighton, Seattle",47.53699000000006,-122.27513999999996
"Broadmoor, Seattle",47.63282000000004,-122.28826999999995
"Broadview, Seattle",47.722380000000044,-122.36497999999995
Broadway (Seattle),47.624960000000044,-122.32091999999994
"Broadway District, Seattle",47.610210203886446,-122.32077180315245
"Bryant, Seattle",47.67579000000006,-122.28733999999997
"Capitol Hill, Seattle",47.62396000000007,-122.31881999999996
"Cascade, Seattle",47.74275344599745,-122.36533156347971
"Cedar Park, Seattle",47.72645000000006,-122.28800999999999
"Central District, Seattle",47.605530000000044,-122.33431999999999
"Central Waterfront, Seattle",47.60357000000005,-122.32944999999995
"Cherry Hill, Seattle",47.60536971740856,-122.32755064918334
"Chinatownâ€“International District, Seattle",47.59896800000007,-122.32542499999994
"Columbia City, Seattle",47.55687000000006,-122.28451999999999
"Crown Hill, Seattle",47.69520000000006,-122.37409999999994
"Delridge, Seattle",47.56451000000004,-122.36336999999997
"Denny Triangle, Seattle",47.616505000000075,-122.33762299999995
"Denny-Blaine, Seattle",47.62021288453815,-122.28063025662047
Downtown Seattle,47.60710000000006,-122.33347999999995
"Dunlap, Seattle",47.52780000000007,-122.26998999999995
"Eastlake, Seattle",47.647080000000074,-122.32476999999994
"Fairmount Park, Seattle",47.55341000000004,-122.38159999999999
"Fauntleroy, Seattle",47.52445000000006,-122.39283999999998
"First Hill, Seattle",47.60878000000008,-122.32642999999996
"Fremont, Seattle",47.66137000000003,-122.35607999999996
"Gatewood, Seattle",47.53755000000007,-122.38414999999998
"Genesee, Seattle",47.56663000000003,-122.39288999999997
"Georgetown, Seattle",47.547510000000045,-122.32148999999998
"Green Lake, Seattle",47.68508000000003,-122.33231999999998
"Greenwood, Seattle",47.69082000000003,-122.35528999999997
"Haller Lake, Seattle",47.72320000000008,-122.33869999999996
"Harbor Island, Seattle",47.579810000000066,-122.35275999999999
Harvard-Belmont Landmark District,49.66416000000004,-96.81997999999999
"Hawthorne Hills, Seattle",41.68323000000004,-69.94954999999999
"Hillman City, Seattle",47.60357000000005,-122.32944999999995
"Industrial District, Seattle",47.58616000000006,-122.32737999999995
"Interbay, Seattle",47.65399000000008,-122.37968999999998
"Lake City, Seattle",47.71780000000007,-122.28317999999996
"Laurelhurst, Seattle",47.66398000000004,-122.27581999999995
"Lawton Park, Seattle",47.659080000000074,-122.40091999999999
"Leschi, Seattle",47.601500000000044,-122.29133999999999
"Licton Springs, Seattle",47.69914000000006,-122.33967999999999
"Lower Queen Anne, Seattle",47.62459000000007,-122.35756999999995
"Loyal Heights, Seattle",47.68393000000003,-122.38430999999997
"Madison Park, Seattle",47.63501000000008,-122.27859999999998
"Madison Valley, Seattle",47.607481491424146,-122.32964212513193
"Madrona Valley, Seattle",47.73962985844379,-122.37025931410373
"Madrona, Seattle",47.61293000000006,-122.28967999999998
"Magnolia, Seattle",47.6334800467051,-122.38702604061692
"Maple Leaf, Seattle",47.70013000000006,-122.31764999999996
"Matthews Beach, Seattle",47.69934000000006,-122.27834999999999
"Meadowbrook, Seattle",47.70841000000007,-122.29585999999995
"Meridian, Seattle",47.66937000000007,-122.32932999999997
Montlake Historic District,40.89188000000007,-74.43807999999996
"Montlake, Seattle",47.64085000000006,-122.30206999999996
"Mount Baker, Seattle",47.57827000000003,-122.28781999999995
"NewHolly, Seattle",47.60357000000005,-122.32944999999995
"North Admiral, Seattle",47.57933000000003,-122.38862999999998
"Northgate, Seattle",47.713100000000054,-122.31929999999994
"Northlake, Seattle",47.655033020544444,-122.32081420479776
"Olympic Hills, Seattle",47.72656000000006,-122.30259999999998
"Phinney Ridge, Seattle",47.67596000000003,-122.35435999999999
"Pinehurst, Seattle",47.71894000000003,-122.31399999999996
"Pioneer Square, Seattle",47.59830000000005,-122.33428999999995
Portage Bay,47.64690000000007,-122.32027999999997
"Queen Anne, Seattle",47.63749000000007,-122.36503999999996
"Rainier Beach, Seattle",47.512350000000026,-122.26276999999999
"Rainier Valley, Seattle",47.55123000000003,-122.28674999999998
"Ravenna, Seattle",47.67393000000004,-122.29913999999997
"Renton Hill, Seattle",47.49706279167162,-122.24616947037198
"Roosevelt, Seattle",47.68156000000005,-122.31675999999999
"Sand Point, Seattle",47.682120000000054,-122.26080999999999
"Seaview, Seattle",47.55217000000005,-122.39174999999994
"Seward Park, Seattle",47.551150000000064,-122.26679999999999
"SoDo, Seattle",47.59029007092778,-122.32703989480018
"South End, Seattle",54.06815408650248,-2.290784852148541
"South Lake Union, Seattle",47.623410000000035,-122.33434999999997
"South Park, Seattle",47.52722000000006,-122.31444999999997
"Southeast Magnolia, Seattle",47.641170000000045,-122.39176999999995
"Squire Park, Seattle",32.929970000000026,-96.89422999999994
"Sunset Hill, Seattle",47.67587000000003,-122.39688999999998
"University District, Seattle",47.66127000000006,-122.31306999999998
"University Village, Seattle",47.664280000000076,-122.29852999999997
"Victory Heights, Seattle",47.710300000000075,-122.30719999999997
"View Ridge, Seattle",47.680330000000026,-122.27289999999999
"Wallingford, Seattle",47.65555000000006,-122.32649999999995
"Washington Park, Seattle",47.628100000000074,-122.28823999999997
"Wedgwood, Seattle",47.68701000000004,-122.29493999999994
West Seattle,47.57123000000007,-122.38513999999998
"West Woodland, Seattle",47.66637000000003,-122.36618999999996
"Westlake, Seattle",47.63297000000006,-122.34172999999998
"Westwood, Seattle",47.73118032131357,-122.28598448289429
"Whittier Heights, Seattle",47.684510000000046,-122.37143999999995
"Windermere, Seattle",47.66999000000004,-122.26626999999996
"Yesler Terrace, Seattle",47.60155000000003,-122.31408999999996
